#type	lbl	state	src	src_idx
floor	.	.	data/tiles_tiles/rough_stone_wall_top.png	0
ceiling	.	.	data/tiles_tiles/dirt_wall_top.png	0
tile	dirt	base	data/tiles_tiles/dirt_wall_top.png	0
tile	brick	base	data/tiles_tiles/stone_brick_wall_top.png	0
tile	red_brick	base	data/tiles_tiles/large_stone_wall_top.png	0
tile	door	base	data/tiles_tiles/door_1.png	0
tile	rock	base	data/tiles_tiles/rough_stone_wall_top.png	0
tile	solid_rock	base	data/tiles_tiles/igneous_wall_top.png	0
enemy	orc	base	data/monsters_tiles/orc.png	0
enemy	imp	base	data/monsters_tiles/imp_devil.png	0
